ID,Name,V1,V2,V3,V4,V5,Energy,Might,Power,Card Type,Rarity,Domain,Tags,Ability,Image URL
ogn-001,Blazing Scorcher,,,,,,5,5,,Unit,Common,Fury,"Dragon, Noxus",[Accelerate] (You may pay 1 energy and 1 fury rune as an additional cost to have me enter ready.),https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/15ed971e4029a92b362a81ccadf309fb81e40b81-744x1039.png
ogn-002,Brazen Buccaneer,,,,,,6,5,,Unit,Common,Fury,"Pirate, Bilgewater","As you play me, you may discard 1 as an additional cost. If you do, reduce my cost by 2 energy.",https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d481971f7560e7235e7d6934767da18daa019eff-744x1039.png
ogn-003,Chemtech Enforcer,,,,,,2,2,,Unit,Common,Fury,Zaun,"[Assault 2] (+2 might while I'm an attacker.) When you play me, discard 1.",https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/19dcf211457d9c9c6e9ea0cd32af76c2c92a3160-744x1039.png
ogn-004,Cleave,,,,,,1,,,Spell,Common,Fury,,[Action] (Play on your turn or in showdowns.) Give a unit [Assault 3] this turn. (+3 might while it's an attacker.),https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/95d476a1e88ff547fb846149619177bc7e3cea9f-744x1039.png
ogn-005,Disintegrate,,,,,,4,,,Spell,Common,Fury,,"[Action] (Play on your turn or in showdowns.) Deal 3 to a unit at a battlefield. If this kills it, draw 1.",https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a27374ac3a81f3dfefb43c3c3237c23b4883cb5a-744x1039.png
ogn-006,Flame Chompers,,,,,,3,3,,Unit,Common,Fury,Zaun,"When you discard me, you may pay 1 fury rune to play me.",https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1f6f5ebd18e5daac30d62626fddd785c4b457c2b-744x1039.png
ogn-007,Fury Rune,,,,,,,,,,Common,Fury,,,
ogn-007a,Fury Rune,,,,,,,,,Rune,Alternate Art,Fury,,,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/09da06c69d07d4e72dde703737ef167472c715af-1488x2078.png
ogn-008,Get Excited!,,,,,,2,,1,Spell,Common,Fury,,[Action] (Play on your turn or in showdowns.) Discard 1. Deal its Energy cost as damage to a unit at a battlefield. (Ignore its Power cost.),https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2906c932c482af17fbb2979a8c42a6992f95d6a6-744x1039.png
ogn-009,Hextech Ray,,,,,,1,,1,Spell,Common,Fury,,[Action] (Play on your turn or in showdowns.) Deal 3 to a unit at a battlefield.,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1e7d12693822c38377ddc8f15db23e2f9b6d560a-744x1039.png
